Age,visit_per_week,weekend_ratio,avg_time_in_gym,num_classes_attended,ratio_cardio,ratio_strength,ratio_mind_body,sauna_session_impact
27,4,0.25,116,3.0,0.3333333333333333,0.6666666666666666,0.0,116
47,3,0.3333333333333333,48,0.0,0.0,0.0,0.0,0
41,1,1.0,123,1.0,0.0,1.0,0.0,0
44,3,0.3333333333333333,99,0.0,0.0,0.0,0.0,99
44,2,0.0,50,3.0,0.6666666666666666,0.0,0.3333333333333333,0
15,1,0.0,180,0.0,0.0,0.0,0.0,180
30,3,0.3333333333333333,62,2.0,0.0,0.5,0.0,0
20,2,0.0,95,2.0,0.0,0.5,0.5,95
46,3,0.6666666666666666,92,1.0,0.0,1.0,0.0,0
24,1,0.0,144,0.0,0.0,0.0,0.0,144
41,1,0.0,36,0.0,0.0,0.0,0.0,0
27,3,0.0,33,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,33
30,2,0.5,158,3.0,0.6666666666666666,0.3333333333333333,0.0,158
35,3,0.0,61,0.0,0.0,0.0,0.0,0
35,1,1.0,145,0.0,0.0,0.0,0.0,0
36,4,0.0,61,3.0,0.6666666666666666,0.3333333333333333,0.0,0
37,3,0.6666666666666666,161,0.0,0.0,0.0,0.0,161
13,3,0.3333333333333333,119,0.0,0.0,0.0,0.0,119
38,1,0.0,167,1.0,0.0,0.0,1.0,167
33,2,0.5,149,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
26,2,0.0,146,0.0,0.0,0.0,0.0,0
26,3,0.3333333333333333,154,3.0,0.0,0.0,0.6666666666666666,154
13,2,0.0,160,1.0,1.0,0.0,0.0,0
14,3,0.3333333333333333,119,0.0,0.0,0.0,0.0,119
16,1,0.0,112,0.0,0.0,0.0,0.0,0
35,1,0.0,102,3.0,0.3333333333333333,0.0,0.6666666666666666,0
19,3,0.3333333333333333,118,1.0,1.0,0.0,0.0,0
32,5,0.4,114,3.0,0.3333333333333333,0.0,0.6666666666666666,0
27,1,0.0,91,0.0,0.0,0.0,0.0,91
21,3,0.0,81,3.0,0.6666666666666666,0.3333333333333333,0.0,81
36,3,0.3333333333333333,130,0.0,0.0,0.0,0.0,130
24,5,0.4,160,0.0,0.0,0.0,0.0,0
42,3,0.6666666666666666,98,2.0,0.5,0.0,0.0,98
47,2,0.5,86,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,86
20,5,0.2,159,0.0,0.0,0.0,0.0,159
34,3,0.6666666666666666,161,1.0,0.0,1.0,0.0,161
43,5,0.4,79,0.0,0.0,0.0,0.0,0
40,2,0.5,118,0.0,0.0,0.0,0.0,0
44,1,0.0,135,0.0,0.0,0.0,0.0,0
18,2,0.0,107,1.0,0.0,0.0,0.0,107
16,3,0.3333333333333333,107,0.0,0.0,0.0,0.0,107
35,1,1.0,58,0.0,0.0,0.0,0.0,0
29,1,0.0,99,1.0,0.0,0.0,1.0,0
28,1,1.0,142,0.0,0.0,0.0,0.0,142
48,2,0.0,158,0.0,0.0,0.0,0.0,158
43,4,0.25,175,1.0,1.0,0.0,0.0,0
35,3,0.3333333333333333,87,0.0,0.0,0.0,0.0,0
26,5,0.2,136,1.0,0.0,0.0,1.0,136
48,3,0.0,137,2.0,0.0,0.0,1.0,137
44,2,0.5,161,2.0,0.5,0.5,0.0,161
45,3,0.3333333333333333,93,0.0,0.0,0.0,0.0,93
28,2,0.5,82,2.0,0.0,0.5,0.5,82
20,2,0.5,69,2.0,0.5,0.0,0.5,0
43,4,0.25,161,1.0,0.0,0.0,1.0,0
24,2,0.5,162,3.0,0.3333333333333333,0.3333333333333333,0.0,162
22,3,0.3333333333333333,71,0.0,0.0,0.0,0.0,71
23,3,0.3333333333333333,162,0.0,0.0,0.0,0.0,0
46,5,0.2,30,2.0,0.0,0.5,0.5,30
17,2,0.0,86,1.0,0.0,1.0,0.0,86
36,2,0.5,122,2.0,0.5,0.5,0.0,122
47,3,0.3333333333333333,107,0.0,0.0,0.0,0.0,0
