Age,visit_per_week,weekend_ratio,avg_time_in_gym,num_classes_attended,ratio_cardio,ratio_strength,ratio_mind_body,sauna_session_impact,gender,abonoment_type,name_personal_trainer,uses_sauna,drink_abo,berry_boost,black_currant,coconut_pineapple,lemon,orange,passion_fruit,Gym_Cluster
27,4,0.25,116,3.0,0.3333333333333333,0.6666666666666666,0.0,116,Female,Premium,No one,True,False,0,0,0,0,0,0,0
47,3,0.3333333333333333,48,0.0,0.0,0.0,0.0,0,Female,Standard,Chantal,False,False,0,0,0,0,0,0,1
41,1,1.0,123,1.0,0.0,1.0,0.0,0,Male,Premium,Mike,False,True,1,0,0,1,0,0,2
44,3,0.3333333333333333,99,0.0,0.0,0.0,0.0,99,Male,Premium,Mike,True,True,0,0,0,0,0,1,1
44,2,0.0,50,3.0,0.6666666666666666,0.0,0.3333333333333333,0,Male,Standard,Mike,False,False,0,0,0,0,0,0,0
15,1,0.0,180,0.0,0.0,0.0,0.0,180,Female,Standard,No one,True,False,0,0,0,0,0,0,1
30,3,0.3333333333333333,62,2.0,0.0,0.5,0.0,0,Male,Premium,No one,False,False,0,0,0,0,0,0,0
20,2,0.0,95,2.0,0.0,0.5,0.5,95,Male,Standard,No one,True,True,0,0,1,0,0,0,0
46,3,0.6666666666666666,92,1.0,0.0,1.0,0.0,0,Male,Premium,Mike,False,True,0,0,0,1,1,0,2
24,1,0.0,144,0.0,0.0,0.0,0.0,144,Female,Premium,Jeffrey,True,False,0,0,0,0,0,0,1
41,1,0.0,36,0.0,0.0,0.0,0.0,0,Male,Standard,Hanna,False,False,0,0,0,0,0,0,1
27,3,0.0,33,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,33,Male,Premium,Mike,True,True,0,0,0,0,0,1,0
30,2,0.5,158,3.0,0.6666666666666666,0.3333333333333333,0.0,158,Female,Standard,No one,True,True,0,0,0,0,0,1,0
35,3,0.0,61,0.0,0.0,0.0,0.0,0,Female,Premium,No one,False,True,0,1,0,0,0,0,1
35,1,1.0,145,0.0,0.0,0.0,0.0,0,Female,Premium,Mike,False,True,0,1,0,0,1,0,1
36,4,0.0,61,3.0,0.6666666666666666,0.3333333333333333,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,0
37,3,0.6666666666666666,161,0.0,0.0,0.0,0.0,161,Male,Premium,Jeffrey,True,False,0,0,0,0,0,0,1
13,3,0.3333333333333333,119,0.0,0.0,0.0,0.0,119,Female,Standard,Mike,True,False,0,0,0,0,0,0,1
38,1,0.0,167,1.0,0.0,0.0,1.0,167,Female,Standard,Hanna,True,True,0,0,0,0,1,0,0
33,2,0.5,149,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,Male,Premium,No one,False,False,0,0,0,0,0,0,0
26,2,0.0,146,0.0,0.0,0.0,0.0,0,Female,Premium,Hanna,False,False,0,0,0,0,0,0,1
26,3,0.3333333333333333,154,3.0,0.0,0.0,0.6666666666666666,154,Male,Premium,No one,True,True,0,0,0,1,0,0,0
13,2,0.0,160,1.0,1.0,0.0,0.0,0,Female,Standard,Mike,False,True,0,0,0,0,1,1,0
